,Messages,Organization
18,"Meghalaya: Family of ex-HNLC leader Cheristerfield demands CBI probe into his death
SHILLONG: The family of former leader of the HNLC – Cheristerfield Thangkhiew – has demanded a probe by the central bureau of investigation (CBI) into his death in an encounter with the Meghalaya police in August last year.

The family of the former HNLC leader has written to Meghalaya chief secretary DP Wahlang, stating their wish for a CBI investigation into the case.

In the letter to the Meghalaya chief secretary, Cheristerfield’s brother – Granary Thangkhiew cited conclusions in the Vaiphei commission report.

The one man commission headed by justice (retd) T Vaiphei, in its report, had cited that there was an excessive use of force by the Meghalaya police during the operation that resulted in the death of former HNLC leader Cheristerfield Thangkhiew.

Also read: Meghalaya to honour Mavis Dunn Lyngdoh, the first cabinet minister of Indian Subcontinent

Surrendered Hynniewtrep National Liberation Council (HNLC) Chesterfield Thangkhiew died in the early hours of August 13, 2021 in “retaliatory firing” by Meghalaya police in Shillong.

A joint team of East Jaintia Hills police and East Khasi Hills police in Meghalaya raided the house of surrendered HNLC leader Chesterfield Thangkhiew around 3 am on August 13 last year at Kynton Massar in Mawlai in connection with bomb blasts in the state.

The prime objective of the operation was, according to the Vaiphei commission report, to capture Cheristerfield Thangkhiew alive.",H|##NL|##C|CB|##I|H|##NL|##C|investigation|CB|##I|H|##NL|##C|CB|##I|V|H|##NL|##C|H|##ynn|##ie|##w|##tre|##p|National|Liberation|Council|H|##NL|##C|H|##NL|##C|
19,"Tokyo encouraging residents to visit public baths
TOKYO, Sep 22 ( NHK ) - The Tokyo Metropolitan Government is encouraging residents to visit public bathhouses by offering them free coupons.

Business at the facilities, called ""sento,"" has been suffering from high energy costs and the coronavirus pandemic.

In July, Tokyo raised the admission fee for the baths by about 15 cents to about 3.50 dollars for people aged 12 and older.

Customers read a QR code on posters at metropolitan facilities to get the coupons that allow a free visit. They are limited to one per phone.",##K|Tokyo|Metropolitan|Government|
20,"Strike: ASUU to Appeal Court Order, File Stay of Execution
The Academic Staff Union of Universities, ASUU, has reacted to the Industrial Court judgement which ordered her members to suspend their ongoing strike immediately.

Pointblanknews.com reports that the National Industrial Court in Abuja on Wednesday ordered ASUU to immediately suspend the ongoing industrial action and return back to work.

Justice Polycarp Hamman of the Industrial Court held that the strike was a breach of the Section 18(1)(2) of the Trade Disputes Act, which prohibits their action.

Reacting, ASUU, on its Facebook page, noted that the Association’s Lawyer is filing an appeal and a stay of execution on the matter immediately.

“Our lawyer is filing an appeal and stay of execution of the judgment. A people united can never be defeated,” ASUU wrote.",AS|##U|##U|Appeal|Court|Academic|Staff|Union|of|Universities|AS|##U|##U|Industrial|Court|Point|##bla|##nk|##ne|##ws|.|com|National|Industrial|Court|AS|##U|##U|##y|##car|Industrial|Court|Di|##utes|AS|##U|##U|Association|s|AS|##U|##U|
21,"Polish spyware scandal shows the need for European rules to protect innocent citizens
“We need European rules to regulate the use of spyware technologies to avoid innocent citizens becoming victims of intrusive and illegal surveillance, as we have seen in Poland”, say S&D members Katarina Barley and Lukasz Kohut. Both MEPs travelled to Warsaw with the European Parliament’s spyware inquiry committee, PEGA*, for a fact-finding mission, and heard from experts, judges, journalists, local politicians, and persons targeted by Pegasus spyware.

The auditors of the Polish Supreme Audit Office confirmed that Poland’s Central Anti-Corruption Bureau, the CBA, illegally bought Pegasus in 2017 using Ministry of Justice funds meant for victims of crimes. It is impossible to know exactly how many people have been targeted so far, as the Polish government refuses to share any information on this, even to the victims themselves. In none of the cases that have become public were the victims criminally charged. Their surveillance was purely politically motivated, targeting mainly political opponents of PiS, the ruling party, or government critics, activists and independent lawyers.

The Polish government has refused to meet the members of the European Parliament’s PEGA delegation.

Katarina Barley, S&D MEP and vice-president of the European Parliament said:

“What we have heard in Warsaw is shocking. Pegasus was illegally bought and used for political purposes, while there is practically no control of the security services. Nobody can feel safe under these circumstances.

The demolition of the proper checks and balances in Poland, during years of the PiS government undermining democracy and the rule of law, makes the Polish case particularly worrying.

“Spying on political opponents is Putin’s way of acting and it’s unacceptable in the EU.

“The current Polish government refuses to investigate and clear up this scandal. That is why Polish citizens count on Europe to protect their privacy and freedoms. We need stronger European legislation regarding spyware technologies that will shield all European citizens, including the Polish, from the abusive use of spyware. We must make sure that such technologies are only used as the last resort in the most serious crimes, with very strict safeguards”.

Lukasz Kohut, S&D MEP and member of the PEGA inquiry committee added:

“It is a scandal that in the twenty-first century in Poland, in the European Union, the authorities used this anti-terrorist cyber weapon to brutally enter into the private lives of their political opponents and citizens. This is an authoritarian state method, where authorities are capable of anything, justifying their actions by hiding behind ‘national security’. That is why our inquiry committee, PEGA, is so important. We will do our best to clear this scandal up completely. Europe must put all the pressure it has on the Polish authorities to make them stop spying on innocent citizens”.

Note to editors:

The European Parliament established the Parliament’s committee of inquiry to investigate the use of the Pegasus and equivalent surveillance spyware (PEGA) last year to investigate alleged breaches of EU law in the use of the surveillance software in EU. Pegasus and equivalent spyware enable the attacker to turn a smartphone into a surveillance device. It can turn on the camera and microphone, read encrypted messages and could even fabricate new content.",S|&|D|ME|European|Parliament|P|##EG|##A|P|##asus|Supreme|Audi|##t|Office|Central|Anti|-|Co|##rr|##up|##tion|Bureau|CB|##A|P|##eg|##asus|Ministry|of|Justice|Pi|##S|European|Parliament|P|##EG|##A|S|&|D|European|Parliament|P|##eg|##asus|Pi|##S|EU|Europe|European|European|Ko|S|D|ME|P|##EG|European|Union|
22,"Netball Ja downplays reports of investigation into New Zealand tour
Netball Jamaica is downplaying reports that World Netball will investigate the situation which led to the Sunshine Girls struggling to field a full squad for their ongoing 2-test series against New Zealand in Auckland.



Connie Francis has taken on a player/coach role for the series, while Australian-based Romelda Aiken-George who gave birth in August as well as New Zealand-based Carla Borrego who retired in 2016, had to be called up at last minute.



Only seven members of the squad were able to travel to New Zealand to for the series due after visa issues.



According to New Zealand publication Stuff, World Netball Chief Executive Claire Briegal said the most critical matter was ensuring the matches, in any capacity, could go ahead, while confirming a full investigation into the ordeal will take place.



However, Radio Jamaica Sports has been informed that although World Netball has been in contact with Netball Jamaica no official investigation has been opened by the world governing body into the situation.



The original three match schedule should have started in last week Saturday in Hamilton, but the delayed arrival of the Jamaicans resulted in a condensed two match series in Auckland.",Net|##ball|J|##a|Net|##ball|Jamaica|World|Net|##ball|Sunshine|Girls|St|##uff|World|Net|##ball|Radio|Jamaica|Sports|World|Net|##ball|Net|##ball|Jamaica|
23,"LMD penalizes Importer-Company of Spare-Parts for violation of rules
Post by RK Online Desk on Wednesday, September 21, 2022

Following a complaint lodged by All Terrain Vehicle (ATV) Association-Gulmarg against an authorized dealer of an Importer-Company for selling spare-parts without complying with the rules, Legal Metrology Department (LMD) penalized the company on establishing violation of rules.

The Divisional Commissioner, Kashmir, Pandurang K. Pole who has been very prompt in resolving the public grievances, had referred the said complaint to the Legal Metrology Department for immediate action and report.

The Legal Metrology Department in turn vehemently raided the premises of sale and service centre of the authorized dealer at Tangmarg.

During the surprise inspection, a good number of imported spare-parts were found without Maximum Retail Price and other mandatory declarations like month and year of import, customer-care details and address of Importer etc.

A challan was made out against the Importer-Company and six products were seized on spot as evidence for being without proper labeling.

Under Legal Metrology laws, every imported-packaged item shall carry on the label the Maximum Retail Price, country of origin, Month & Year of Import, address of the Importer with e-mail address and contact number etc.

It was informed that it is the mandate of the Importer to re-label the imported products before supplying them into markets.

The Legal Notice was served to the Importer for not labeling the imported spare-parts, leaving the scope for manipulation of prices and other declarations, the Importer-Company confessed the lapse of not labeling the products owing to Covid-pandemic conditions in the country.

The Assistant Controller, Legal Metrology, and Baramulla slapped a fine of Rs. 100,000 on the Importer-Company with the direction to re-label the unsold stocks of spare-parts available with the dealer so that the customers may know about the price of the product before buying it for use or repair.

The consumers are informed to lodge complaints with the department if any foreign (packaged) product is without MRP and other mandatory declarations.",L|##MD|I|##mpo|##rter|-|Company|of|Spa|##re|-|Parts|R|##K|Online|Des|##k|All|Terra|##in|Vehicle|AT|##V|Association|G|##ul|##mar|##g|I|##mpo|##rter|-|Company|Legal|Metro|##logy|Department|L|##MD|Legal|Metro|##logy|Department|Legal|Metro|##logy|Department|Re|I|##mpo|I|##mpo|Company|Legal|Metro|##logy|I|I|##mpo|Not|I|##mpo|I|##mpo|##rter|-|Company|
24,"USD Slides to 0.99 as Putin Declares Partial Mobilization – 24
EUR/USD Slides to 0.99 as Putin Declares Partial Mobilization

The EUR/USD pair has come under increasing pressure amid the recent menacing national address by Russian President Vladimir Putin and the speculation on the upcoming rate hike by the US Federal Reserve. As of now, the EUR is down by around 0.68% to $0.9903 against the US dollar.

Putin Announces Partial Mobilization, Energy Prices Spike

On Wednesday, Putin announced Russia’s first mobilization since World War Two, calling up 300,000 fighters for the war in Ukraine. He also voiced support for a plan to annex swathes of Ukraine, while warning the West that he is ready to use nuclear weapons to defend Russia.

According to a report by Reuters, Putin explicitly warned about his readiness to use nuclear weapons in the biggest escalation of the war since Moscow’s invasion of its neighbor on February 24. He reportedly said during a televised address to the nation:

“If the territorial integrity of our country is threatened, we will, without doubt, use all available means to protect Russia and our people – this is not a bluff.”

The announcement comes as Russian forces have suffered heavy battlefield defeats in northeastern Ukraine. The country’s Defense Minister Sergei Shoigu said that Russia would recruit 300,000 fighters out of approximately 25 million potential fighters at Moscow’s disposal.

Following the announcement, almost all crude oil blends and indexes spiked. West Texas Crude (WTI) increased by 2.64% reaching $86.16 per barrel, UK’s Brent Crude spiked by 2.52% to around $93, and UAE’s Murban Crude surged by 1.87% to just over $94, according to data by Oil Price.

Giovanni Staunovo, a commodity analyst at UBS Group, confirmed that the recent spike in oil prices is due to increasing concerns about upcoming supply disruptions. “Supply disruption concerns are supporting oil,” he reportedly said.

Rising Inflation and Upcoming Rate Hike

As reported, inflation eased to 8.3% in August. While the figure came lower than July’s 8.5%, it still exceeded the Wall Street expectations of around 8% on an annual basis. This led to speculations that the Fed might impose a third consecutive 75 bps interest rate increase or even its first 100 bps rate hike.

Meanwhile, the lack of economic data by the European Central Bank (ECB) has further forced the markets to focus on the Fed decisions. According to the ECB’s weekly schedule of public speaking, no ECB members will be speaking ahead of the Fed.

As of now, today’s FOMC policy decision is the primary reference for the market’s direction. In the case of a dovish 75-basis point rate hike, the EUR would likely test the Second Major Resistance Level (R2) at $1.0087 and resistance at $1.0100, according to FXEmpire analysts.

According to the FedWatch Tool, there is an 82% probability of a 75-basis point rate versus 18% for a percentage point move. Notably, the probability of a percentage point move was around 16% earlier today, suggesting that the Fed might take into account Russia’s latest threat.

Nevertheless, the scales remain tipped in favor of the dollar for now. According to data by Bloomberg, the EUR is down by around 0.68% to $0.9903 against the US dollar.

This article originally appeared on The Tokenist",Part|Mo|US|Federal|Reserve|EU|Re|##uters|West|Texas|C|##rud|##e|W|##TI|Brent|C|##rud|Mu|C|##rud|U|Fed|
25,"Randy Orton Set to Testify In Trial Over His Tattoos Appearing In WWE 2K
Randy Orton will take the stand in the trial for the lawsuit over his tattoos being featured in the WWE 2K franchise. As reported last week, the long-delayed trial is set to start next week and PWInsider reports that Orton is scheduled as a witness in the trial.

Tattoo artist Catherine Alexander filed the suit against WWE, Take-Two Interactive Software, Inc., 2K Games, Inc., 2K Sports, Inc., Visual Concepts Entertainment, Yuke’s Co., Ltd. and Yuke’s LA Inc. back in April of 2018. Alexander alleges that she owns all the original designs for her work on Orton. The lawsuit states that she never gave the defendants permission to recreate them in the video games and thus they are infringing on her copyrights.

The trial, which has been postponed several times over the past few years for various reasons, is set to start on September 26th in the U.S. District Court Southern District of Illinois. A judge ruled in September of 2020 that WWE and Take-Two had copied five of Alexander’s original designs that she holds valid trademarks on but denied a summary judgment for Alexander, sending the case toward a jury trial.","P|##WI|##ns|##ider|WWE|Take|-|Two|Interactive|Software|,|Inc|2|##K|Games|,|Inc|2|##K|Sports|,|Inc|Visual|Concept|##s|Entertainment|Yu|##ke|’|s|Co|.|,|Ltd|Yu|##ke|’|LA|Inc|U|District|Court|Southern|District|Illinois|WWE|Take|-|Two|"
26,"Philadelphia, residents file separate lawsuits against owners of building that partially collapsed
""These people need to make it right. This is wrong,"" one resident said.

The City of Philadelphia and residents have filed separate lawsuits against the owners of the Lindley Towers in Logan.

PHILADELPHIA (WPVI) -- The City of Philadelphia filed a lawsuit Tuesday against the owners of the Lindley Towers in the Logan section of the city.

The owners are expected in court at 10 a.m. Thursday.

But that is not the only lawsuit facing the building's management.

A second lawsuit was filed Wednesday. It has been posted on the fence outside the building.

Nearly two dozen residents are suing to get their rent money back and compensation on behalf of the roughly 100 people who live in the building on Camac Street and Lindley Avenue.

""SBG Management is not giving anyone their security deposits back or their rent back,"" displaced tenant Rosa Abraham said. ""My kids haven't been to school in a week because they are homeschooled and all the bouncing and instability is causing them problems with not being able to go to school.""

The lawsuits come after part of the facade on the 7th floor collapsed last Wednesday, forcing an evacuation of the building.

According to the city's lawsuit, the building is ""imminently dangerous and uninhabitable."" It also says the management didn't have a valid rental license because it expired in February of 2021. The city is seeking at least $1.5 million.

SEE ALSO: Crews respond to partial collapse at apartment building in city's Logan section

""Why is it that they aren't putting us in housing?"" Tamika Dover asked. She was one of the dozens forced out of the building last week. She's been living in shelters ever since.

""Why are they not refunding our money?"" she said.

Engineers were back out at the building on Wednesday inspecting a gaping hole in the side of the building where the facade collapsed.

They were hired by the owners of the building to look for other structural issues. According to the city's lawsuit, the collapse was caused by the owners' failure to remediate violations of the Philadelphia code. Action News found nearly 200 violations against the property.

We tried talking with a representative with SBG Management on site, but he could not comment.

""These people need to make it right. This is wrong,"" said Dover.

She said the owners offered to give her 28 days in a hotel room in exchange for signing a waiver. She would not accept the offer.

Abraham is also waiting for a permanent home with her two kids and a woman she cares for. They left the Red Cross shelter set up at Samuel Fels High School gym after it closed Tuesday night.

They are staying in another shelter run by the city for the time being.

""My kids are an emotional wreck,"" Abraham said. ""This will damage them.""",City|of|Philadelphia|Lin|##dley|Towers|P|##H|##IL|##AD|##EL|##P|##H|City|of|Philadelphia|Lin|Towers|S|##B|##G|Management|Engineers|Philadelphia|Action|News|S|Dover|
27,"Police investigating shooting in Narberth, Pennsylvania
There was no immediate word on what led up to the shooting.

Police are investigating a shooting that injured a person in Narberth, Pennsylvania Wednesday night.

NARBERTH, Pennsylvania (WPVI) -- Police are investigating a shooting that injured a person in Lower Merion Township, Montgomery County Wednesday night.

It happened just before 6:30 p.m. at Montgomery Avenue and Woodbine Avenue in Narberth.

The view from Chopper 6 showed a heavy police presence in the area.

An unidentified victim was shot and rushed to the hospital with unknown injuries.

There has been no word on what led up to the shooting or whether anyone was arrested.",
28,"1 dead, 2 injured after triple shooting in Philadelphia's Germantown neighborhood
1 dead, 2 injured after triple shooting in Philadelphia's Germantown neighborhood

Philadelphia police are investigating a triple shooting that left a man dead and two others injured Wednesday afternoon.

PHILADELPHIA (WPVI) -- Philadelphia police are investigating a triple shooting that left a man dead and two others injured Wednesday afternoon.

It happened around 2:48 p.m. on the 500 block of East Queen Lane in the city's Germantown section.

Police say a 27-year-old man died after being shot multiple times.

Two other shooting victims, a 23-year-old man and a 29-year-old man, were both hospitalized in stable condition.

The circumstances surrounding the shooting are still being investigated.

No arrests have been made.

Anyone with information on this case is asked to call police at 215-686-TIPS.",P|##IL|##AD|##EL|##P|##H|
29,"Hawthorn allegations: Chris Fagan issues statement as ex-Hawks staffer Jason Burt stands down from Caulfield Grammar
Brisbane coach Chris Fagan has denied claims surrounding his involvement in Hawthorn’s alleged mistreatment of First Nations AFL players and their families.

The 61-year-old’s future is under a cloud ahead of an independent investigation into accusations made in a review commissioned by the Hawks and subsequent ABC interviews with former players and their partners.

Fagan, who agreed to stand down from his role at Brisbane on Wednesday, worked at Hawthorn from 2008 to 2016.

Analysis, local footy and the biggest moments, Seven and 7plus are the home of footy shows for every fan. Stream them all for free on 7plus >>

“I was shocked and deeply distressed by the allegations reported in the media yesterday concerning my time at the Hawthorn Football Club,” Fagan said in a statement on Thursday.

“I deny, categorically, the allegations of wrongdoing by me in relation to First Nations players at the Hawthorn Football Club.

“I have had very positive relationships with First Nations players throughout my many years in football, and, indeed players from different racial and ethnic groups.”

Fagan confirmed he was not involved in the Hawthorn review but did not directly address the ABC report, which said Fagan, Clarkson and Burt did not respond to detailed questions put to them.

Brisbane Lions coach Chris Fagan. Credit: Getty

“I had no opportunity to, and did not, participate in any way in the review commissioned by the Hawthorn Football Club,” he said.

“I was not interviewed. Nor was I invited to be interviewed. No one associated with the review ever put any allegation to me for a response.

“I intend to defend myself. It is my hope that people will judge me based upon the way I actually conduct myself and not by what is written in the media.

“I support and welcome the investigation announced by the AFL yesterday. I intend to participate fully in the investigation and look forward to being heard and being accorded due process and fairness.”

The AFL is set to appoint a four-person panel, led by a King’s Counsel, to probe the claims.

Fagan’s former colleague Alastair Clarkson issued a similar statement on Wednesday after he stepped back from working with North Melbourne pending the findings of the investigation.

Fagan was a senior assistant coach to Clarkson and general manager of football at the Hawks during their premiership years before being appointed Brisbane coach in 2017.

Alastair Clarkson and Chris Fagan pictured during their time at Hawthorn. Credit: Getty

Earlier on Thursday, it emerged that Jason Burt - a former Hawthorn football staffer named in the reports - has stood aside from his coaching and performance role at Caulfield Grammar in Melbourne.

The school’s principal Ashleigh Martin said Burt had taken an indefinite leave of absence.

“Jason is a former employee of Hawthorn, and his desire to engage fully in the investigation, therefore requiring (sic) leave from our school,” Martin said in an email to parents.

“As you would appreciate, the matters pertaining to the AFL’s independent investigation are highly sensitive for all parties involved.

“We are providing Jason with appropriate support while the investigation takes place.”

- with AAP",Hawthorn|Hawks|C|##aul|##field|Grammar|Brisbane|Hawthorn|Hawks|ABC|Brisbane|Hawthorn|Hawthorn|Football|Club|Hawthorn|Football|Club|Hawthorn|ABC|Brisbane|Lions|Hawthorn|Football|Club|AFL|AFL|King|Counsel|F|North|Melbourne|F|Hawks|Brisbane|
30,"Optus cyber attack: Massive data breach affects millions of customers’ personal information
Optus has suffered a major data breach, compromising the personal information of up to nine million Australian customers.

Personal details, including passport and licence numbers, email and home addresses, dates of birth and telephone numbers of 2.8 million customers were accessed in the cyberattack, Optus has confirmed.

WATCH IN THE VIDEO ABOVE: Details as Optus suffers major data breach.

Watch the latest News on Channel 7 or stream for free on 7plus >>

About seven million people’s dates of birth, email addresses and phone numbers were stolen.

Cyber criminals could have access to enough information to steal the identities of millions of Optus customers, the consumer watchdog has warned.

Australian Consumer and Competition Commission deputy chair Delia Rickard said the cyberattack was extremely worrying due to the large amount of personal information fraudsters might be able to access.

“These are all the things that you need for identity theft and also all the things you need to personalise a scam and make it much more convincing,” she told Nine on Friday.

Optus Australia confirmed the attack on Thursday, stating it was “investigating the possible unauthorised access of current and former customers’ information”.

“We are devastated to discover that we have been subject to a cyberattack that has resulted in the disclosure of our customers’ personal information to someone who shouldn’t see it,” Optus CEO Kelly Bayer Rosmarin said.

“As soon as we knew, we took action to block the attack and began an immediate investigation.

“While not everyone may be affected and our investigation is not yet complete, we want all of our customers to be aware of what has happened as soon as possible so that they can increase their vigilance.”

Optus Australia confirmed the attack on Thursday, stating it was ‘investigating the possible unauthorised access of current and former customers’ information’. File image. Credit: BIANCA DE MARCHI / AAPIMAGE

Optus assured payment details and account passwords have not been compromised and Optus services, including mobile and home internet, are not affected.

“Optus has also notified key financial institutions about this matter,” Rosmarin said.

“While we are not aware of customers having suffered any harm, we encourage customers to have heightened awareness across their accounts, including looking out for unusual or fraudulent activity and any notifications which seem odd or suspicious.

“We are very sorry and understand customers will be concerned. Please be assured that we are working hard ... to help safeguard our customers as much as possible.”

Cybersecurity Minister Clare O’Neil told 7NEWS.com.au: “The Australian Cybersecurity Centre is providing cybersecurity advice and technical assistance” in relation to the cyberattack involving Optus.

Australian Federal Police, the Office of the Australian Information Regulator and other key regulators have also been notified.

Optus responds

In an update on Friday, Rosmarin described the attack as “sophisticated”.

“We are taking full accountability for what has happened,” she said.

“No ransomware demands have been made ... but it’s too early to rule out any possibilities.”

Rosmarin said Optus will be contacting all customers.

“In the next few days, all customers will be contacted ... including those who have not been affected, and they will know what category they will fall into,” she said.

While it is estimated up to 9.8 million people may have been affected, Rosmarin described this number as a “worst case scenario”.

“We have reason to believe that number is actually much lower,” she said.

“Once we’ve worked through all the relevant information, we expect that number will be much lower.

“But again, our teams are looking into every possibility.”

Rosmarin said the message to Optus customers is to remain alert.

“What customers can do is be vigilant, if anything unusual occurs report it … be alert to any activity that seems suspicious or odd,” she said.

Rosmarin said, given the matter is “subject to criminal proceedings”, the company would not release any further details about how the attack unfolded.

What you can do

Scamwatch advised Optus customers to secure their personal information by changing online account passwords and enabling multi-factor authentication for banking.

Affected customers should also place limits on bank accounts, monitor for any unusual activity and request a ban on credit reports if any fraud is suspected.

Laws questioned after Optus cyberattack

The cyberattack is a dramatic wake-up call and should lead to tougher privacy and data laws, the federal opposition says.

While the government has initiated a review into data security on social media platforms such as TikTok, it won’t be completed until next year, opposition communications spokeswoman Senator Sarah Henderson said.

“This is all too little, too late,” she said.

“Rather than kick the can down the road, Labor must urgently consider all regulatory options and act immediately to improve the privacy and safety of Australians online.”

Millions of Optus customer details may have been accessed in a cyber attack. Credit: Dave Hunt / AAP

Henderson said the opposition had for months been calling on the Albanese government to deliver tougher online privacy and data protection laws.

In July, it called on Labor to adopt the coalition’s Online Privacy Bill and, earlier this month, she and other opposition MPs had criticised the government for failing to strengthen laws.

The Office of the Australian Information Commissioner said it would engage with Optus to ensure compliance with the requirements of the Notifiable Data Breaches scheme.

Under the framework, organisations covered by the Privacy Act must notify affected individuals as quickly as possible if they experience a data breach likely to result in serious harm.

- With AAP",Op|##tus|Op|##tus|Op|##tus|Op|##tus|News|Channel|7|Op|##tus|Australian|Consumer|and|Competition|Commission|Nine|Op|##tus|Australia|Op|##tus|Op|DE|##MA|Op|Op|Op|R|
31,"Telco giant Optus hit by cyberattack
Names, birth dates and home addresses﻿ have potentially been exposed in a massive cyberattack on telecommunications giant Optus.

The hack has left 9 million customers vulnerable in what cyber security expert Nick Savvides has described as ""a very serious breach"".

""It's probably one of the biggest that we've had in Australia,"" Savvides said.﻿

Names, birth dates and home addresses﻿ have potentially been exposed in a massive cyberattack on telecommunications giant Optus. (A Current Affair)

READ MORE: Family 'destroyed' after flood victim dies during insurance battle﻿

""The information that has been lost can be used ﻿to conduct identity theft against people.

""﻿(That includes) taking out loans, credit cards ... in someone else's name, but also spam and running phishing campaigns against people﻿.""﻿

Former head of the Australian Cyber Security Centre Alastair McGibbon said the source of the hack was most likely a criminal group.

Former head of the Australian Cyber Security Centre Alastair McGibbon said the source of the hack was most likely a criminal group. (A Current Affair)

READ MORE: Series of anti-racism signs divides Sydney residents﻿

""They take information and then monetise our personal data,"" he said.

""The fact that Optus has come out so quickly is actually a significant benefit to us.

""This is pretty quick in cyber crime terms.

The hack has left 9 million customers vulnerable in what cyber security expert Nick Savvides has described as ""a very serious breach"". (A Current Affair)

READ MORE: Victim of 'hi mum' scam loses thousands of dollars﻿

""Often organisations will spend days, sometimes weeks investigating before they'll even notify the government.

""The fact that they've done this so quickly, notifying the government and they've come out publicly, I must commend them.""

It is the biggest hack in recent history. In 2020 Optus had a data breach of 50,000 customers.

The same year 50,000 driving license details were hacked from Transport NSW and 104,000 people had their data taken from Service New South Wales.

Sensitive health details of NDIS customers were hacked in May this year and 90,000 South Australian public servants had their details stolen.

I-care suffered a privacy breach for almost 200,000 customers in June.

Over the past five years every state and territory government has had a department that has been the victim of a cyber attack.

Savvides said every Optus customer ""needs to be extremely vigilant around their identity and around their personal information being used against them"".﻿ (A Current Affair)

READ MORE: ﻿Professor battling back against crippling disease

This is the fourth cyber attack on Optus since 2019.﻿

Optus released a statement which said ""﻿payment detail and account passwords have not been compromised"".

""Information which may have been exposed includes customers' names, dates of birth, phone numbers, email addresses, and, for a subset of customers, addresses, ID document numbers such as driver's licence or passport numbers,"" the company said.

Optus is working with the Australian Cyber Security Centre to mitigate any risks to customers.

Optus has also notified the Australian Federal Police, the Office of the Australian Information Commissioner and key regulators.

McGibbon said people need to be ""hyper vigilant"".

""The up-to nine million people that might have been affected here are ﻿now more at risk from scammers,"" he said.

Optus said it has notified the Australian Federal Police, the Office of the Australian Information Commissioner and key regulators. (A Current Affair)

READ MORE: ﻿Residents claim drone deliveries are driving them mad

Savvides said every Optus customer ""needs to be extremely vigilant around their identity and around their personal information being used against them"".﻿

""It's very likely that they will start to receive emails and SMSs with phishing attacks trying to get them to click on something, do something be very wary all of those,﻿"" he said.

""Unfortunately it is likely that you will have to worry about this over the long term.

""You can't change your date of birth, it's very hard to change your name, it's very hard to change your drivers license number or passport number.

""These things are relatively static in nature, which makes it extremely hard to change so the concern is going to persist into the future.""",Tel|##co|Op|##tus|Op|##tus|Op|##tus|Cy|##ber|Security|Centre|##ast|Cy|##ber|Security|Centre|##ast|Op|##tus|Op|Transport|
32,"App Tracking Transparency workaround sees Meta face class action lawsuit
Meta is facing a class action lawsuit after both Facebook and Instagram were found to be using an App Tracking Transparency workaround to track users on the web, even after they were denied permission to do so.

The company is accused not just of breaking Apple’s privacy rules, but also violating both state and federal laws …

Background

App Tracking works by Apple assigning a unique identifier to your device. It doesn’t reveal any details about you, but does allow them to see (for example) that iOS user 30255BCE-4CDA-4F62-91DC-4758FDFF8512 has visited gadget websites, and therefore would be a good target for gadget ads.

It also allows them to see that iOS user 30255BCE-4CDA-4F62-91DC-4758FDFF8512 was shown an ad for a particular product on a particular website, then subsequently went to a particular retailer site to buy it – therefore that ad was (likely) successful.

With App Tracking Transparency, app developers must ask you if you want to allow that tracking. If you say no (as most people do), then the apps are not allowed to use that system.

Meta’s App Tracking Transparency workaround

Facebook and Instagram each have their own embedded web browsers, which are used whenever a user taps a link in either app. This means that Meta can track activity in those browsers.

The theoretical risk of this was already well understood, but security researcher Felix Krause last month found concrete evidence that Meta was actually doing this.

He found that both apps injected their tracking code into every website shown, including when clicking on ads. In the most extreme case, this would enable Meta to monitor all user interactions, like every button & link tapped, text selections, screenshots, as well as any form inputs, like passwords, addresses, and credit card numbers.

Krause doesn’t suggest Meta is going that far, of course. His research didn’t allow him to see what data the company was extracting, but he was able to confirm that they do extract something.

I don’t have a list of precise data Instagram sends back home. I do have proof that the Instagram and Facebook app actively run JavaScript commands to inject an additional JS SDK without the user’s consent, as well as tracking the user’s text selections. If Instagram is doing this already, they could also inject any other JS code.

Class action lawsuit

Bloomberg reports that two users have now sued Meta in a proposed class action lawsuit.

Meta Platforms Inc. was sued for allegedly building a secret work-around to safeguards that Apple Inc. launched last year to protect iPhone users from having their internet activity tracked. In a proposed class-action complaint filed Wednesday in San Francisco federal court, two Facebook users accused the company of skirting Apple’s 2021 privacy rules and violating state and federal laws limiting the unauthorized collection of personal data. A similar complaint was filed in the same court last week […] Responding to the report, Meta acknowledged that the Facebook app monitors browser activity, but denied it was illegally collecting user data.

A Meta spokesperson told us: “These allegations are without merit and we will defend ourselves vigorously. We have designed our in-app browser to respect users’ privacy choices, including how data may be used for ads.”

A class action suit is when others affected are invited to join the action against the defendant. Generally this means no more than filling in an online form if the case is successful, and compensation awarded (which is generally just a few dollars per person). A judge has to approve the conversion of the lawsuit to a class action.

Photo: Glen Carrie/Unsplash

FTC: We use income earning auto affiliate links. More.

Check out 9to5Mac on YouTube for more Apple news:",Met|##a|Met|##a|Facebook|In|##sta|##gram|Apple|Apple|Met|##a|Facebook|In|##sta|##gram|Met|##a|Met|##a|Met|Met|
